Location,Date,Round,player,opponent,player_rank,opponent_rank,player_hand,player_ht,player_nationality,player_age,opponent_hand,opponent_ht,opponent_nationality,opponent_age,win
London,07/03/2017,Round of 128,Fabbiano T.,Querrey S.,91.0,28.0,R,173.0,ITA,29.6,R,198.0,USA,31.2,0
London,07/03/2017,Round of 128,Whittington A.,Monteiro T.,210.0,100.0,R,188.0,AUS,31.0,L,183.0,BRA,24.7,0
London,07/03/2017,Round of 128,Shapovalov D.,Janowicz J.,164.0,141.0,L,185.0,CAN,19.7,R,203.0,POL,29.3,0
London,07/03/2017,Round of 128,Sousa J.,Brown D.,62.0,97.0,R,185.0,POR,29.7,R,196.0,GER,34.5,0
London,07/03/2017,Round of 128,Berlocq C.,Basilashvili N.,80.0,54.0,R,183.0,ARG,36.0,R,185.0,GEO,26.8,0
London,07/03/2017,Round of 128,Bublik A.,Murray A.,135.0,1.0,R,196.0,KAZ,21.7,R,190.0,GBR,31.6,0
London,07/03/2017,Round of 128,Cecchinato M.,Nishikori K.,102.0,9.0,R,185.0,ITA,26.2,R,178.0,JPN,29.0,0
London,07/03/2017,Round of 128,Verdasco F.,Anderson K.,35.0,42.0,L,188.0,ESP,35.1,R,203.0,RSA,32.6,0
London,07/03/2017,Round of 128,Istomin D.,Young D.,72.0,43.0,R,188.0,UZB,32.3,L,183.0,USA,35.0,0
London,07/03/2017,Round of 128,Jaziri M.,Pouille L.,77.0,16.0,R,185.0,TUN,34.9,R,185.0,FRA,24.8,0
London,07/03/2017,Round of 128,Copil M.,Gojowczyk P.,85.0,140.0,R,193.0,ROU,28.2,R,185.0,GER,29.4,0
London,07/03/2017,Round of 128,Benneteau J.,Stakhovsky S.,81.0,122.0,R,185.0,FRA,43.0,R,193.0,UKR,33.1,0
London,07/03/2017,Round of 128,Gombos N.,Seppi A.,93.0,87.0,R,193.0,SVK,28.9,R,190.0,ITA,34.8,0
London,07/03/2017,Round of 128,Kohlschreiber P.,Cilic M.,60.0,6.0,R,178.0,GER,35.2,R,198.0,CRO,30.2,0
London,07/03/2017,Round of 128,Millman J.,Nadal R.,137.0,2.0,R,183.0,AUS,29.5,L,185.0,ESP,32.6,0
London,07/03/2017,Round of 128,Troicki V.,Mayer F.,40.0,114.0,R,193.0,SRB,32.9,R,191.0,GER,41.0,0
London,07/03/2017,Round of 128,Karlovic I.,Bedene A.,23.0,58.0,R,208.0,CRO,39.8,R,181.0,SLO,29.5,0
London,07/03/2017,Round of 128,Tursunov D.,Fognini F.,715.0,29.0,R,185.0,RUS,42.0,R,178.0,ITA,31.6,0
London,07/03/2017,Round of 128,Laaksonen H.,Rosol L.,104.0,214.0,R,185.0,SUI,26.7,R,196.0,CZE,34.2,0
London,07/03/2017,Round of 128,Fucsovics M.,Muller G.,109.0,26.0,R,188.0,HUN,26.8,L,193.0,LUX,41.0,0
