Round,player,opponent,player_hand,player_ht,player_age,opponent_hand,opponent_ht,opponent_age,win,player_rank,opponent_rank,is_player_home_country,is_opponent_home_country,year,month,day,dayofweek
Round of 64,Sock J.,Khachanov K.,R,185.0,26.9,R,198.0,22.6,1,8.0,8.0,True,False,2017,1,18,2
Round of 64,Murray A.,Rublev A.,R,190.0,31.6,R,188.0,21.1,1,1.0,8.0,False,False,2017,1,18,2
Round of 64,Gasquet R.,Berlocq C.,R,185.0,32.8,R,183.0,36.0,1,18.0,62.0,False,False,2017,1,19,3
Round of 64,Kohlschreiber P.,Young D.,R,178.0,35.2,L,183.0,29.6,1,22.0,42.0,False,True,2017,1,19,3
Round of 64,Dimitrov G.,Chung H.,R,188.0,27.6,R,188.0,22.6,1,3.0,21.0,False,False,2017,1,19,3
Round of 64,Ferrer D.,Escobedo E.,R,175.0,36.7,R,185.0,23.1,1,21.0,69.0,False,False,2017,1,19,3
Round of 64,Istomin D.,Djokovic N.,R,188.0,32.4,R,188.0,31.6,1,57.0,1.0,False,False,2017,1,19,3
Round of 64,Raonic M.,Muller G.,R,196.0,28.0,L,193.0,41.0,1,3.0,21.0,False,False,2017,1,19,3
Round of 64,Goffin D.,Stepanek R.,R,180.0,28.1,R,185.0,46.0,1,7.0,102.0,False,False,2017,1,19,3
Round of 64,Karlovic I.,Whittington A.,R,208.0,39.8,R,188.0,31.0,1,20.0,194.0,False,False,2017,1,19,3
Round of 64,Zverev A.,Tiafoe F.,R,198.0,21.7,R,188.0,20.9,1,3.0,29.0,False,True,2017,1,19,3
Round of 64,Paire B.,Fognini F.,R,196.0,29.6,R,178.0,31.6,1,19.0,9.0,False,False,2017,1,19,3
Round of 64,Thiem D.,Thompson J.,R,185.0,25.3,R,183.0,24.6,1,3.0,43.0,False,False,2017,1,19,3
Round of 64,Nadal R.,Baghdatis M.,L,185.0,32.6,R,183.0,33.6,1,1.0,36.0,False,False,2017,1,19,3
Round of 32,Seppi A.,Darcis S.,R,190.0,34.8,R,178.0,34.8,1,35.0,38.0,False,False,2017,1,20,4
Round of 32,Zverev M.,Jaziri M.,L,190.0,31.5,R,185.0,34.9,1,26.0,42.0,False,False,2017,1,20,4
Round of 32,Wawrinka S.,Troicki V.,R,183.0,33.7,R,193.0,32.9,1,3.0,29.0,False,False,2017,1,20,4
Round of 32,Murray A.,Querrey S.,R,190.0,31.6,R,198.0,31.2,1,1.0,11.0,False,True,2017,1,20,4
Round of 32,Evans D.,Tomic B.,R,175.0,28.6,R,193.0,26.2,1,28.0,26.0,False,False,2017,1,20,4
Round of 32,Nishikori K.,Lacko L.,R,178.0,29.0,R,185.0,31.2,1,4.0,71.0,False,False,2017,1,20,4
